,words,count
4,accept,239
107,around,184
113,ask,494
197,bike,223
202,bite,202
255,budget,176
270,buy,163
288,car,112
299,cash,344
377,come,387
395,conduct,212
400,consider,101
423,could,405
480,deal,121
792,get,356
798,give,256
802,go,418
808,good,302
823,great,545
876,hello,146
883,hi,191
885,high,134
909,hope,115
929,id,191
937,ill,176
945,in,742
973,interest,323
1056,less,109
1068,like,562
1073,list,167
1076,little,251
1086,look,367
1097,lower,140
1113,make,123
1200,month,193
1215,much,139
1233,need,173
1238,negoti,121
1250,new,264
1257,nice,123
1281,number,4862
1301,offer,425
1308,ok,168
1310,okay,149
1317,one,136
1372,pay,384
1398,phone,111
1401,pick,448
1455,price,718
1521,really,224
1559,rent,101
1594,right,149
1673,see,236
1679,sell,248
1733,since,119
1793,sound,290
1907,take,519
1939,that,191
1954,think,223
1982,today,254
2067,use,174
2102,want,129
2128,well,322
2151,will,662
2172,work,200
2180,would,1258
2190,ye,257
2193,year,119
